Notice Title,URL,Date
গ্রন্থাগার ও তথ্যবিজ্ঞান ডিপ্লোমা প্রথম সেমিস্টার পরীক্ষা-২০২৫ ফরম পূরণের সময় বৃদ্ধি সংক্রান্ত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_13677_pub_date_21102025.pdf,"October 22, 2025"
২০২৩ সালের বিবিএ (প্রফেশনাল) প্রথম বর্ষ ২য় সেমিস্টার পরীক্ষার উত্তরপত্র পুনঃমূল্যায়নের জন্য সময় বৃদ্ধির সংশোধিত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_13678_pub_date_21102025.pdf,"October 22, 2025"
সংবাদ বিজ্ঞপ্তিঃ জাতীয় বিশ্ববিদ্যালয়ের ৩৩তম প্রতিষ্ঠাবার্ষিকী উদযাপন।,https://www.nu.ac.bd/uploads/notices/Press_Release_21-10-25.pdf,"October 22, 2025"
গ্রন্থাগার ও তথ্যবিজ্ঞান ডিপ্লোমা প্রথম সেমিস্টার পরীক্ষা-২০২৫ ফরম পূরণের সময় বৃদ্ধি সংক্রান্ত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_13677_pub_date_21102025.pdf,"October 22, 2025"
২০২৩ সালের বিবিএ (প্রফেশনাল) প্রথম বর্ষ ২য় সেমিস্টার পরীক্ষার উত্তরপত্র পুনঃমূল্যায়নের জন্য সময় বৃদ্ধির সংশোধিত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_13678_pub_date_21102025.pdf,"October 22, 2025"
সংবাদ বিজ্ঞপ্তিঃ জাতীয় বিশ্ববিদ্যালয়ের ৩৩তম প্রতিষ্ঠাবার্ষিকী উদযাপন।,https://www.nu.ac.bd/uploads/notices/Press_Release_21-10-25.pdf,"October 22, 2025"
জাতীয় বিশ্ববিদ্যালয়ের একাডেমিক কমিটি আটর্স গ্রুপের দর্শন বিষয়ের ২০২৪ সালের শিক্ষাবর্ষ : ২০২৩-২০২৪ এমফিল কোর্সওয়ার্ক পরীক্ষার চূড়ান্ত ফলাফল ও ফলাফল প্রকাশ সংক্রান্ত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_445_pub_date_21102025.pdf,"October 21, 2025"
জাতীয় বিশ্ববিদ্যালয়ের একাডেমিক কমিটি আটর্স গ্রুপের বাংলা বিষয়ের ২০২৩ সালের শিক্ষাবর্ষ : ২০২৩-২০২৪ এমএএস (বাংলা) ১ম সেমিস্টারের পরীক্ষার চূড়ান্ত ফলাফল ও ফলাফল প্রকাশ সংক্রান্ত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_449_pub_date_21102025.pdf,"October 21, 2025"
২০২২ সালের এম.সিএসই ইন কম্পিউটার সায়েন্স এন্ড ইঞ্জিনিয়ারিং (MCSE) ২য় সেমিস্টার পরীক্ষার উত্তরপত্র পুনঃর্মূল্যায়নের জন্য আবেদন সংক্রান্ত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_13668_pub_date_21102025.pdf,"October 21, 2025"
"সংবাদ বিজ্ঞপ্তিঃ ময়মনসিংহ, নেত্রকোনা ও কিশোরগঞ্জ জেলার শিক্ষকদের সাথে জাতীয় বিশ্ববিদ্যালয়ের মত-বিনিময় সভা।",https://www.nu.ac.bd/uploads/notices/Press_Release_20-10-25.pdf,"October 21, 2025"
২০২৪ সালের অনার্স ২য় বর্ষ পরীক্ষা কেন্দ্রের প্রতি সংশোধিত বিশেষ নির্দেশাবলী।,https://www.nu.ac.bd/uploads/notices/notice_10340_pub_date_20102025.pdf,"October 20, 2025"
জাতীয় বিশ্ববিদ্যালয়ের ৩৩তম প্রতিষ্ঠাবার্ষিকী উপলক্ষে আগামী ২১ অক্টোবর ২০২৫ তারিখ মঙ্গলবার সকাল ১১.০০ টায় বিশ্ববিদ্যালয়ের গাজীপুর ক্যাম্পাসে মাননীয় ভাইস-চ্যান্সেলর-এর নেতৃত্বে আনন্দর‍্যালী সংক্রান্ত অফিস আদেশ।,https://www.nu.ac.bd/uploads/notices/notice_2363_pub_date_20102025.pdf,"October 20, 2025"
"২০২৩ সালের বি.এসসি অনার্স ইন-কম্পিউটার সায়েন্স এন্ড ইঞ্জিনিয়ারিং (CSE) দ্বিতীয় বর্ষ, ৪র্থ সেমিস্টার পরীক্ষার উত্তরপত্র পুনর্মূল্যায়নের জন্য আবেদন সংক্রান্ত বিজ্ঞপ্তি।",https://www.nu.ac.bd/uploads/notices/notice_13659_pub_date_20102025.pdf,"October 20, 2025"
২০২২ সালের মাস্টার্স ফাইনাল পরীক্ষার ট্রান্সক্রিপ্ট বিতরণ সংক্রান্ত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_2395_pub_date_20102025.pdf,"October 20, 2025"
২০২৪ সালের বিবিএ (অনার্স) ইন এভিয়েশন ম্যানেজমেন্ট তৃতীয় বর্ষ ১ম সেমিস্টার এবং চতুর্থ বর্ষ ১ম সেমিস্টার এর ব্যবহারিক/মৌখিক পরীক্ষার বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_13656_pub_date_20102025.pdf,"October 20, 2025"
২০২৩ সালের অনার্স ৪র্থ বর্ষ মৌখিক ও ব্যবহারিক পরীক্ষার সংশোধিত কেন্দ্র তালিকা।,https://www.nu.ac.bd/uploads/notices/Center_list_HP4_pub_date_19102025.pdf,"October 19, 2025"
"২০২৪ সালের বিবিএ (অনার্স) ইন ট্যুরিজম এন্ড হসপিটালিটি ম্যানেজমেন্ট (THM) দ্বিতীয় বর্ষ, ৩য় সেমিস্টার পরীক্ষার ফরম পূরণের সময় বৃদ্ধি সংক্রান্ত বিজ্ঞপ্তি।",https://www.nu.ac.bd/uploads/notices/notice_13655_pub_date_19102025.pdf,"October 19, 2025"
বি.এসসি অনার্স ইন-কম্পিউটার সায়েন্স এন্ড ইঞ্জিনিয়ারিং (সিএসই) দ্বিতীয় বর্ষ ৩য় সেমিস্টার পরীক্ষা-২০২৪ এর ফরম পূরণের সময় বৃদ্ধি সংক্রান্ত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_13654_pub_date_19102025.pdf,"October 19, 2025"
২০২৩ সালের বি.এড (অনার্স) ৩য় বর্ষ ৬ষ্ঠ সেমিস্টার স্থগিত পরীক্ষার সময়সূচি সংক্রান্ত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_13653_pub_date_19102025.pdf,"October 19, 2025"
বি.এড (অনার্স) দ্বিতীয় বর্ষ ৩য় সেমিস্টার পরীক্ষা-২০২৪ এর ফরম পূরণের সময় বৃদ্ধি সংক্রান্ত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_13652_pub_date_19102025.pdf,"October 19, 2025"
২০২৪ সালের ব্যাচেলর অব ফিজিক্যাল এডুকেশন (BPED) দ্বিতীয় সেমিস্টার ব্যবহারিক পরীক্ষার বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_13649_pub_date_19102025.pdf,"October 19, 2025"
২০২২ সালের প্রিলিমিনারী টু মাস্টার্স পরীক্ষার মৌখিক/ব্যবহারিক/মাঠকর্ম পরীক্ষা সংক্রান্ত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_409_pub_date_19102025.pdf,"October 19, 2025"
২০২৩ সালের এলএলবি ১ম পর্ব পরীক্ষার শৃঙ্খলা কমিটির সভার কার্যবিবরণী।,https://www.nu.ac.bd/uploads/notices/notice_13681_pub_date_23102025.pdf,"October 23, 2025"
"২০২৪ সালের বি.এড ও বিএমএড (১ বছর মেয়াদী, নতুন ও পুরাতন সিলেবাস অনুরায়ী) ২য় সেমিস্টার পরীক্ষার সংশোধিত কেন্দ্র তালিকা।",https://www.nu.ac.bd/uploads/notices/notice_13680_pub_date_23102025.pdf,"October 23, 2025"
২০২৪ সালের ডিগ্রী (পাস) ও সার্টিফিকেট কোর্স ১ম বর্ষ পরীক্ষার সময়সূচি।,https://www.nu.ac.bd/uploads/notices/notice_5596_pub_date_22102025.pdf,"October 23, 2025"
২০২৪ সালের ডিগ্রী (পাস) ও সার্টিফিকেট কোর্স ১ম বর্ষ পরীক্ষার ফরম পূরণ (ইনকোর্স ফি) সংক্রান্ত সংশোধিত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_5597_pub_date_22102025.pdf,"October 23, 2025"
২০২৩ সালের অনার্স ৪র্থ বর্ষ মৌখিক ও ব্যবহারিক পরীক্ষার সংশোধিত কেন্দ্র তালিকা।,https://www.nu.ac.bd/uploads/notices/Center_List_4th_year_Management_pub_date_22102025.pdf,"October 23, 2025"
"সংবাদ বিজ্ঞপ্তিঃ জাতীয় বিশ্ববিদ্যালয়ের শিক্ষার্থী হওয়ায় ভবিষ্যতে ছাত্র-ছাত্রীরা গর্ববোধ করবে -ভাইস-চ্যান্সেলর, জাতীয় বিশ্ববিদ্যালয়।",https://www.nu.ac.bd/uploads/notices/Press_Release_22-10-25.pdf,"October 23, 2025"
২০২৩ সালের এলএলবি ১ম পর্ব পরীক্ষার শৃঙ্খলা কমিটির সভার কার্যবিবরণী।,https://www.nu.ac.bd/uploads/notices/notice_13681_pub_date_23102025.pdf,"October 23, 2025"
"২০২৪ সালের বি.এড ও বিএমএড (১ বছর মেয়াদী, নতুন ও পুরাতন সিলেবাস অনুরায়ী) ২য় সেমিস্টার পরীক্ষার সংশোধিত কেন্দ্র তালিকা।",https://www.nu.ac.bd/uploads/notices/notice_13680_pub_date_23102025.pdf,"October 23, 2025"
২০২৪ সালের ডিগ্রী (পাস) ও সার্টিফিকেট কোর্স ১ম বর্ষ পরীক্ষার সময়সূচি।,https://www.nu.ac.bd/uploads/notices/notice_5596_pub_date_22102025.pdf,"October 23, 2025"
২০২৪ সালের ডিগ্রী (পাস) ও সার্টিফিকেট কোর্স ১ম বর্ষ পরীক্ষার ফরম পূরণ (ইনকোর্স ফি) সংক্রান্ত সংশোধিত বিজ্ঞপ্তি।,https://www.nu.ac.bd/uploads/notices/notice_5597_pub_date_22102025.pdf,"October 23, 2025"
২০২৩ সালের অনার্স ৪র্থ বর্ষ মৌখিক ও ব্যবহারিক পরীক্ষার সংশোধিত কেন্দ্র তালিকা।,https://www.nu.ac.bd/uploads/notices/Center_List_4th_year_Management_pub_date_22102025.pdf,"October 23, 2025"
"সংবাদ বিজ্ঞপ্তিঃ জাতীয় বিশ্ববিদ্যালয়ের শিক্ষার্থী হওয়ায় ভবিষ্যতে ছাত্র-ছাত্রীরা গর্ববোধ করবে -ভাইস-চ্যান্সেলর, জাতীয় বিশ্ববিদ্যালয়।",https://www.nu.ac.bd/uploads/notices/Press_Release_22-10-25.pdf,"October 23, 2025"
